category,assumptions,t0,t1,0,1
2.0,\textrm{wahr},"\left|4\,x-4\right|  = 3",\left( x-4 = \frac{3}{4}\right) \vee \left( x-4 = -\frac{3}{4}\right),,
2.0,\textrm{wahr},"\left|\left|4\,x-2\right| -2\right|  = 3","\left|-(4\,x-2)-2\right|  = 3",,
2.0,x\neq 1.6,"-\frac{2\,x}{5\,x-8}-\frac{5}{5\,x-8}\ge 2",\frac{11}{12}\ge x\ge \frac{8}{5},,
2.0,\textrm{wahr},"x^{2} + 5\,x-3 > 0","x^{2} + 2 \cdot \frac{2}{5}\,x + \left( \frac{2}{5}\right)^{2}-\left( \frac{2}{5}\right)^{2}-3 > 0",,
2.0,\textrm{wahr},\left( x + \frac{2}{5}\right)^{2}-\left( \frac{2}{5}\right)^{2}-3 > 0,\left( x + \frac{2}{5}\right)^{2}-8 > 0,,
2.0,\textrm{wahr},\left|x + \frac{2}{5}\right|  > \sqrt{8},\left( x + \frac{2}{5} > \sqrt{8}\right) \vee \left( x + \frac{2}{5} > -\sqrt{8}\right),,
2.0,\textrm{wahr},\left|x + \frac{5}{2}\right|  > \sqrt{8},\left( x + \frac{5}{2} > \sqrt{8}\right) \vee \left( x + \frac{5}{2} > -\sqrt{8}\right),,
2.0,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-\left( \frac{5}{2}\right)^{2}-3 > 0,\left( x + \frac{5}{2}\right)^{2}-8 > 0,,
2.0,\textrm{wahr},\left|x + 3\right|  < 5,x + 3 < 5,,
2.0,\textrm{wahr},\left|x + 3\right|  < 5,-(x + 3) < 5,,
2.0,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-\left( \frac{5}{2}\right)^{2}-3 > 0,\left( x + \frac{5}{2}\right)^{2}-3 > 0,,
2.0,\textrm{wahr},\left|x + \frac{5}{2}\right|  > \sqrt{3},\left( x + \frac{5}{2} > \sqrt{3}\right) \vee \left( x + \frac{5}{2} > -\sqrt{3}\right),,
2.0,\textrm{wahr},\left|x + 3\right|  < 5,x < 2,,
2.0,\textrm{wahr},\left|x + 3\right|  < 5,x + 3 > -5,,
2.0,x\ge \frac{1}{2},"\left|4\,x-4\right|  = 3",\left( x-4 = \frac{3}{4}\right) \vee \left( x-4 = -\frac{3}{4}\right),,
2.0,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-8 > 0,\left|x + \frac{5}{2}\right| ^{2}-3 > 0,,
2.0,x\ge 2,"9\,x\le 5",x\ge \frac{5}{9},,
2.0,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-\left( \frac{5}{2}\right)^{2}-3 > 0,\left( x + \frac{5}{2}\right)^{2}-\frac{13}{4} > 0,,
2.0,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2}-\frac{13}{4} > 0,\left|x + \frac{5}{2}\right| ^{2}-3 > 0,,
2.0,x < \frac{3}{2},"\left|2\,x-3\right|  + \left|6\,x + 5\right|  = 6","-(2\,x-3)-(6\,x + 5) = 6",,
2.0,x < \frac{3}{2},x = -1,\textrm{wahr},,
2.0,x < \frac{3}{2},"\left|2\,x-3\right|  + \left|6\,x + 5\right|  = 6","-(2\,x-3) + 6\,x + 5 = 6",,
2.0,x < \frac{3}{2},"-2\,x + 3 + 6\,x-5 = 6","-8\,x-2 = 6",,
2.0,\textrm{wahr},"(-5\,a-3)\,x = 4","x = \frac{4}{-5\,a-3}",,
2.0,x\ge 0,"\left|\left|3\,x-3\right| -6\right|  = 4","\left|3\,x-3-6\right|  = 4",,
2.0,\textrm{wahr},"x^{2} + 5\,x + 2 < 0","x^{2} + 5\,x > 2",,
2.0,\textrm{wahr},"x^{2} + 5\,x > 2","x^{2}-5\,x + \frac{5}{2} > 8.25",,
2.0,\textrm{wahr},"x^{2}-5\,x + \frac{5}{2} > 8.25",\left( x-\frac{5}{2}\right)^{2} > 8.25,,
2.0,\textrm{wahr},\left|x-\frac{5}{2}\right|  > \frac{\sqrt{33}}{2},\left( x-\frac{5}{2} > \frac{\sqrt{33}}{2}\right) \wedge \left( x-\frac{5}{2} < \frac{\sqrt{33}}{2}\right),,
2.0,\textrm{wahr},\left( x-\frac{5}{2} > \frac{\sqrt{33}}{2}\right) \wedge \left( x-\frac{5}{2} < \frac{\sqrt{33}}{2}\right),"\left( x < \frac{8 + 5\,\sqrt{33}}{10}\right) \wedge \left( x > \frac{4 + 5\,\sqrt{33}}{10}\right)",,
2.0,\textrm{wahr},"(1-2\,a)\,x = -7",0 = -7,,
2.0,\textrm{wahr},"(1-2\,a)\,x = -7","x = \frac{-7}{1-2\,a}",,
2.0,x < \frac{5}{3},"\left|3\,x-5\right|  + \left|5\,x-6\right|  = 2","-(3\,x-5)-(5\,x-6) = 2",,
2.0,x\ge \frac{6}{5},"\left|3\,x-5\right|  + \left|5\,x-6\right|  = 2","3\,x-5 + 5\,x-6 = 2",,
2.0,\textrm{wahr},x^{2}-x + \left( \frac{1}{2}\right)^{2}-\left( \frac{1}{2}\right)^{2}-3\le 0,\left( x-\frac{1}{2}\right)^{2}-\frac{11}{4}\le 0,,
2.0,\textrm{wahr},"4\,\sin{\left(4\,x + 2\right)} = y-7",\left|y-3\right| \le 4,,
2.0,\textrm{wahr},"4\,\sin{\left(4\,x + 2\right)} = y-7",\left|y-7\right| \le 4,,
2.0,\textrm{wahr},"-2\,x^{2} + 3\,x-2 = -2\,x^{2} + 3\,x-2","y = -2\,x^{2} + 3\,x-2",,
2.0,\textrm{wahr},"y = -2\,x^{2} + 3\,x-2",-\frac{y}{2} = x^{2}-\frac{3}{2} + 1,,
2.0,\textrm{wahr},-\frac{y}{2}-\frac{7}{16} = x^{2}-\frac{3}{2} + 1-\frac{7}{16},-\frac{y}{2}-\frac{7}{16} = \left( x-\frac{3}{4}\right)^{2},,
2.0,\textrm{wahr},y\le -\frac{7}{8},"\mathbb{L} = \left(-\infty ,-\frac{7}{8}\right]",,
2.0,\textrm{wahr},x^{2}-x + \left( \frac{1}{2}\right)^{2}-\left( \frac{1}{2}\right)^{2}-3\le 0,\left( x-\frac{1}{2}\right)^{2} + \frac{11}{4}\le 0,,
2.0,\textrm{wahr},\left( x-\frac{1}{2}\right)^{2} + \frac{11}{4}\le 0,\left|x-\frac{1}{2}\right| ^{2}\le \frac{11}{4},,
2.0,\textrm{wahr},\left|x + 4\right| \le 8,-(x + 4)\le 8,,
2.0,\textrm{wahr},\left|x + 4\right| \le 8,x + 4\le 8,,
2.0,\textrm{wahr},"(-3\,a-1)\,x = -1","x = \frac{1}{-3\,a-1}",,
2.0,\textrm{wahr},"(-3\,a-1)\,x = -1","x = -\frac{1}{3\,a + 1}",,
2.0,\textrm{wahr},"\left|x + 4\right| \le 8\,x\ge -4",x + 4\le 8,,
2.0,\textrm{wahr},"\left( 8\,x\ge \left|x + 4\right| \right) \wedge \left( 8\,x < -4\right)",-(x + 4)\le 8,,
2.0,x\neq -2,"\frac{-6\,x-9}{3\,x + 6}\le 5","-6\,x-9\le 5\,(3\,x + 6)",,
2.0,x\neq -2,"-15\,x\le 39",x\le -2.6,,
2.0,x\neq -2,"-6\,x-9\le 15\,x + 30","-15\,x\le 39",,
2.0,\textrm{wahr},"(a-4)\,x = 2",x = \frac{2}{a-4},,
2.0,\textrm{wahr},"-1\,l < -r-4","l\ge -\frac{1}{1}\,r-\frac{4}{1}",,
2.0,\left( x\ge 3\right) \wedge \left( x < 5\right),"x-5-2\,x + 6 = 7","-3\,x + 1 = 7",,
2.0,\textrm{wahr},"5\,x-1 = -2-5\,a\,x","5\,x-5\,a\,x = -1",,
2.0,a = \frac{1}{3},0 = 0,\textrm{falsch},,
2.0,a\neq \frac{1}{3},"(1 + 3\,a)\,x = 0",x = \left( \frac{0}{1 + 3}\right)_{a},,
2.0,\left( x\neq -1\right) \wedge \left( x > -1\right),"\frac{3\,x + 8}{3\,x + 3} < 3","3\,x + 3 < 3\,(3\,x + 3)",,
2.0,\left( x\neq -1\right) \wedge \left( x < -1\right),"\frac{3\,x + 8}{3\,x + 3} < 3","3\,x + 3 > 3\,(3\,x + 3)",,
2.0,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 3 > 3\,(3\,x + 3)","3\,x + 3 < 9\,x + 9",,
2.0,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 3 < 9\,x + 9","-6\,x > 6",,
2.0,\textrm{wahr},0 = 0,\textrm{falsch},,
2.0,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 8 > 3\,(3\,x + 3)","3\,x + 8 < 9\,x + 9",,
2.0,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 8 < 9\,x + 9","-6\,x > 1",,
2.0,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 8 > 9\,x + 9","-6\,x < 1",,
2.0,\left( x\neq -1\right) \wedge \left( x < -1\right),"-6\,x < 1",x < -\frac{1}{6},,
2.0,a = \frac{1}{4},0 = -1,\textrm{wahr},,
2.0,\textrm{wahr},"-1\,l + 4 < -r","-1\,l < -r-4\,\left|+1\right|  + 1",,
2.0,\left( x\neq \frac{1}{2}\right) \wedge \left( x > \frac{1}{2}\right),"\frac{x + 1}{2\,x-1} > 1","x + 1 > 2\,x + 1",,
2.0,\left( x\neq \frac{1}{2}\right) \wedge \left( x > \frac{1}{2}\right),"x + 1 > 2\,x + 1",-x > -2,,
2.0,\textrm{wahr},"x-5 = 3-2\,a\,x","x-2\,a\,x = 8",,
2.0,\textrm{wahr},"x + 3 = -5 + 3\,a\,x","x-a\,x = -8",,
2.0,\textrm{wahr},"x-a\,x = -8","(1-3\,a)\,x = -8",,
2.0,\textrm{wahr},"\sqrt{3\,x-3} = -2\,x + 2",\sqrt{3 \cdot 1-3} = -2 \cdot 1 + 2,,
2.0,a\neq -\frac{1}{2},"(1-2\,a)\,x = 8","x = \frac{8}{1-2\,a}",,
2.0,\textrm{wahr},"-x^{2} + 2\,x + 4 > 0","-x^{2} + 2\,x + 1^{2} + 1^{2} + 4 > 0",,
2.0,\textrm{wahr},\left|x-1\right|  > \sqrt{5},\left( x-1 < \sqrt{5}\right) \vee \left( x-1 > -\sqrt{5}\right),,
2.0,\textrm{wahr},y = \left|x-2\right| ^{2},y\ge 0,,
2.0,\textrm{wahr},y\ge 0,"w = \left[0,\infty \right)",,
2.0,\left( x\neq -0.6666666666666666\right) \wedge \left( x > \frac{-4}{6}\right),"-45\,x\ge 36",x\ge \frac{-4}{5},,
2.0,\left( x\neq -0.6666666666666666\right) \wedge \left( x < \frac{-4}{6}\right),"-45\,x\le 36",x\le \frac{-4}{5},,
2.0,x < \frac{7}{4},"\left|4\,x + 7\right| \ge 1","-(4\,x + 7)\ge 1",,
2.0,x < \frac{7}{4},"-(4\,x + 7)\ge 1","4\,x + 7\ge -1",,
2.0,x\ge -\frac{7}{4},"\left|4\,x + 7\right| \ge 1","4\,x + 7 > 1",,
2.0,x < \frac{7}{4},"\left|4\,x + 7\right| \ge 1","-(4\,x + 7) > 1",,
2.0,x < \frac{7}{4},"-(4\,x + 7) > 1","4\,x + 7 > -1",,
2.0,x\ge -\frac{7}{4},"4\,x + 7\ge 1","4\,x > -6",,
2.0,x\ge -\frac{7}{4},"4\,x\ge -6",x > -\frac{6}{4},,
2.0,\textrm{wahr},"\left|5\,x-5\right|  > 2","\left|5\,x + 5\right|  > 2",,
2.0,\textrm{wahr},"\left|5\,x + 5\right|  > 2",\left|x + 2\right|  > \frac{2}{5},,
2.0,\textrm{wahr},"5\,x + 5 = -3 + 5\,a\,x\,\left|-5\,a\,x\right| -4\,t","5\,x-5\,a\,x = -3-4\,t",,
2.0,\textrm{wahr},"5\,x + 5 = -3 + 5\,a\,x","5\,x-5\,a\,x = -3-4\,t",,
2.0,\textrm{wahr},"5\,x-5\,a\,x = -3-5","x\,(5-5\,a) = -3-4\,t",,
2.0,\textrm{wahr},"x\,(5-5\,a) = -3-4\,t","x = \frac{-3-4\,t}{5-5\,a}",,
2.0,\textrm{wahr},"5\,x-5\,a\,x = -3-5","x\,(5 + 5\,a) = -3-5",,
2.0,\textrm{wahr},"x\,(5 + 5\,a) = -3-5","x = \frac{-3-5}{5 + 5\,a}",,
2.0,\textrm{wahr},"-x + 3 = 4 + 3\,a","-x-3\,a\,x = 1",,
2.0,\textrm{wahr},"\left( 3\,d + 1 = 13\right) \vee \left( 3\,d + 1 = -13\right)","\left( 3\,d = 14\right) \vee \left( 3\,d = -14\right)",,
2.0,\textrm{wahr},"5\,x-5\,a\,x = -3-5","x = 5 + 5\,a = -3-5",,
2.0,\textrm{wahr},"x = 5 + 5\,a = -3-5","x = \frac{-3-5}{5 + 5\,a}",,
