category,assumptions,t0,t1
2,\textrm{wahr},\begin{array}{r|rrrrr}  & 4 & 3 & 2 & 5 & 1\\2 &  & 8 & 22 & 48 & 106\\ \hline  & 4 & 11 & 24 & 53 & 107\end{array},"p{\left(x\right)} = (x-2)\,(4\,x^{4} + 11\,x^{3} + 24\,x^{2} + 53) + 107"
2,\textrm{wahr},"y-4 = x\,(x + 8)",\frac{y-4}{8} = x^{2}
2,\textrm{wahr},y-4\ge 0,y = 4
2,\textrm{wahr},"y = -2\,\cos{\left(4\,x + 3\right)}-2","-2\,\cos{\left(4\,x + 3\right)} = y \cdot 2"
2,\textrm{wahr},\begin{array}{r|rrrrr}  & 4 & 3 & 2 & 5 & 1\\-2 &  & 8 & 22 & 48 & 106\\ \hline  & 4 & 11 & 24 & 53 & 107\end{array},"p{\left(x\right)} = (x-2)\,(4\,x^{4} + 11\,x^{3} + 24\,x^{2} + 53) + 107"
1,\textrm{wahr},"-6\,a^{2}-1\,a\,t-6\,t^{2}","-6\,a-6\,t-1"
1,\textrm{wahr},"-6\,a^{2}-1\,a\,t-6\,t^{2}","-6\,a-6\,t"
2,\textrm{wahr},"y = x^{2}-8\,x + 1","y-15 = x^{2}-8\,x + 16"
2,\textrm{wahr},"y-15 = x^{2}-8\,x + 16","y-1 + 8\,x = x^{2}"
2,\textrm{wahr},"y = x^{2}-8\,x + 1","y-15 = x^{2}-8\,x + 1 + 15"
2,\textrm{wahr},"y-15 = x^{2}-8\,x + 1 + 15","y-1 + 8\,x = x^{2}"
2,\textrm{wahr},"y + 15 = x^{2}-8\,x + 16",y + 15 = \left( x-4\right)^{2}-15
2,\textrm{wahr},y + 15\ge 0,y\ge 15
2,\textrm{wahr},"y-4 = x^{2} + 2\,(4\,x + 2)","\frac{y-4}{4\,x + 2} = x^{2} + 2"
2,\textrm{wahr},"y = x^{2} + 8\,x + 4","y-4 = x^{2} + 2\,(4\,x + 2)"
2,\textrm{wahr},"\frac{y-4}{4\,x + 2} = x^{2} + 2","\frac{y-6}{4\,x + 2} = x^{2}"
2,\textrm{wahr},y-6\ge 0,y = 6
2,\textrm{wahr},"\frac{y-6}{4\,x + 2}\ge 0",y-6\ge 0
1,\textrm{wahr},"x^{2} + 3\,x-1 + x^{3}-x^{2} + x","y \cdot 2 + 3\,x-1 + x^{3}-x^{2} + x"
1,\textrm{wahr},"y \cdot 2 + 3\,x-1 + x^{3}-x^{2} + x","x^{3} + x^{2}-x^{2} + 3\,x + x-1"
1,\textrm{wahr},"x^{2} + 3\,x-1 + x^{3}-x^{2} + x","x^{2} + 3\,x-1 + x-x + x"
1,\textrm{wahr},"x^{2} + 3\,x-1 + x-x + x","x^{3} + x^{2}-x^{2} + 3\,x + x-1"
2,\textrm{wahr},"y-4 = x^{2}\,(16\,x + 4)","\frac{y-4}{16\,x + 4} = x^{2}"
2,\textrm{wahr},\Leftrightarrow y-4\ge 0,y = 4
2,\textrm{wahr},"y-4 = x^{2} + 2\,(4\,x + 2)","y-4 = x^{2}\,(16\,x + 4)"
1,\textrm{wahr},"\sum_{ k = 1}^{n}\left(5\,k-1\right)",\sum_{ k = 1}^{n}\left(k + 1 + 5\right)
2,\textrm{wahr},\begin{array}{r|rrrrrr}  & 2 & 2 & 5 & 5 & 2 & 1\\2 &  & 4 & 12 & 34 & 78 & 160\\ \hline  & 2 & 6 & 17 & 39 & 80 & 161\end{array},"p{\left(x\right)} = (x-2)\,(2\,x^{4} + 6\,x^{3} + 17\,x^{2} + 39\,x + 80) + 161"
2,\textrm{wahr},\begin{array}{r|rrrrrr}  & 4 & 3 & 5 & 2 & 5 & 3\\1 &  & 4 & 7 & 12 & 14 & 19\\ \hline  & 4 & 7 & 12 & 14 & 19 & 22\end{array},"p{\left(x\right)} = (x-1)\,(4\,x^{4} + 7\,x^{3} + 12\,x^{2} + 14\,x + 19) + 22"
1,\textrm{wahr},"2\,x^{3} + 3\,x^{2} + x + 1 + 2\,x^{4} + x^{3} + x^{2} + 1","x^{4} + 3\,x^{3} + 4\,x^{2} + x + 2"
1,\textrm{wahr},"(3\,x^{3} + x^{2} + 3) \cdot 0","3\,x^{3} + x^{2} + 3 \cdot 0"
1,\textrm{wahr},"3\,x^{3} + x^{2} + 3 \cdot 0",0
1,\textrm{wahr},"(3\,x^{3} + x^{2} + 3) \cdot 0","3\,x^{3} + x^{2} + 3"
1,\textrm{wahr},"3\,x^{3} + x^{2} + 3",0
2,y\neq 0,\frac{-2}{y}\ge +8,y\le -4
1,\textrm{wahr},"x^{2} + 3\,x-1 + x^{3}-x^{2} + x","x^{3} + x^{2}-x^{1} + 3\,x + x-1"
1,\textrm{wahr},"x^{3} + x^{2}-x^{1} + 3\,x + x-1","x^{3} + 4\,x-1"
1,\textrm{wahr},"2\,x^{2} + 2-(3\,x^{4} + 4\,x^{3} + x^{2} + x + 2)","2\,x^{2} + 2-3\,x^{4} + 4\,x^{3} + x^{2} + x + 2"
1,\textrm{wahr},"2\,x^{2} + 2-3\,x^{4} + 4\,x^{3} + x^{2} + x + 2","3\,x^{4} + 4\,x^{3} + x^{2}-x"
1,\textrm{wahr},"-2\,\sum_{ k = 1}^{n}k + \sum_{ k = 1}^{n}+2","-\frac{2\,n\,(n-1)}{2} + 2\,n"
1,\textrm{wahr},"-\frac{2\,n\,(n-1)}{2} + 2\,n","-2\,(\frac{n\,(n-1)}{2} + \frac{4\,n}{2})"
1,\textrm{wahr},"-2\,\sum_{ k = 1}^{n}k + \sum_{ k = 1}^{n}+2","-2\,(\frac{n\,(n-1)}{2} + 2\,n)"
1,\textrm{wahr},"(2\,x^{3} + 1)\,2\,x","2\,x + 1 \cdot 2\,x"
1,\textrm{wahr},"2\,x + 1 \cdot 2\,x","4\,x^{4} + 1"
1,\textrm{wahr},"2\,x^{3} + 1 \cdot 2\,x","4\,x^{4} + 1"
1,\textrm{wahr},"(2\,x^{3} + 1)\,2\,x","2\,x^{3} + 1 \cdot 2\,x"
2,y\neq 0,\frac{-2}{y}\ge +8,y\le -\frac{1}{4}
1,\textrm{wahr},"2\,\sum_{ k = 1}^{n}-k + \sum_{ k = 1}^{n}+2","2\,(\frac{n\,(-n-1)}{2} + 2\,n)"
1,\textrm{wahr},"2\,\sum_{ k = 1}^{n}-k + \sum_{ k = 1}^{n}2","2\,(\frac{n\,(-n-1)}{2} + 2\,n)"
2,\left( x\neq -\frac{1}{2}\right) \wedge \left( y\neq -\frac{1}{2}\right),"(2 + 4\,y)\,x = -2\,y-2","x = \frac{2\,y-2}{2 + 4\,y}"
2,x\neq \frac{3}{4},"(-4\,x + 3)\,y = -x-2","(3-4\,y)\,x = -y-2"
2,x\neq \frac{3}{4},"(-4\,x + 3)\,y = -x-2","(-4\,y + 3)\,x = -y-2"
2,\textrm{wahr},\begin{array}{r|rrrrrr}  & 2 & 2 & -1 & -3 & 1 & 1\\2 &  & 4 & 12 & 22 & 38 & 79\\ \hline  & 2 & 6 & 11 & 19 & 39 & 79\end{array},"p{\left(x\right)} = (x-2)\,(2\,x^{4} + 6\,x^{3} + 11\,x^{2} + 19\,x + 39) + 79"
2,y\neq 0,\frac{-2}{y} = x^{2} + 4,\frac{-2}{y} + 4 = x^{2}
2,y\neq 0,\frac{-2}{y}\ge -4,y\ge 2
2,\left( y\neq 0\right) \wedge \left( y\neq 0\right),y\le \frac{5}{4},\textrm{wahr}
2,y\neq 0,\frac{-2}{y}\ge +4,\left( y\ge -2\right) \wedge \left( y\le -2\right)
2,y\neq 0,6\le \frac{-4}{y},"6\,y\le -4"
2,\textrm{wahr},"y = -4\,\cos{\left(3\,x-1\right)}-7","y + 7 = \cos{\left(3\,x-1\right)}"
1,\textrm{wahr},"5 \cdot 4-5 \cdot 5\,i + 5 \cdot 4\,i-5\,i \cdot 5\,i","20-25\,i-20\,i + 25"
2,x\neq -\frac{4}{3},"(1 + 3\,y)\,x = -4\,y + 2",0 = \frac{10}{3}
2,\textrm{wahr},y + 20 = \left( x-4\right)^{2},\sqrt{y + 20} = x-4
2,\textrm{wahr},\sqrt{y + 20}\ge -4,y + 20\ge 16
2,\left( y\neq 0\right) \wedge \left( y\neq 0\right),6\le \frac{-4}{y},"6\,y\le -4"
2,\left( y\neq 0\right) \wedge \left( y\neq 0\right),"\Leftrightarrow y\,(x^{2} + 6) = -4",x^{2} + 6 = \frac{-4}{y}
2,\left( y\neq 0\right) \wedge \left( y\neq 0\right),6\ge \frac{-4}{y},"6\,y\ge -4"
1,\textrm{wahr},"-3\,\sum_{ k = 1}^{n}k-\sum_{ k = 1}^{n}5","-3\,\frac{n\,n + 1}{-5}-5\,n"
1,\textrm{wahr},"-3\,\sum_{ k = 1}^{n}k-\sum_{ k = 1}^{n}5","-3\,\frac{n\,(n + 1)}{-5}-5\,n"
1,\textrm{wahr},"-3\,\sum_{ k = 1}^{n}k-\sum_{ k = 1}^{n}5","-3\,\frac{n\,(n-1)}{-5}-5\,n"
1,\textrm{wahr},"(2\,x^{3} + 3)\,2\,x^{2} + (2\,x^{3} + 3) \cdot 2","4\,x^{5} + 6\,x^{2} + 6\,x^{3} + 6"
1,\textrm{wahr},"-3\,\sum_{ k = 1}^{n}k-\sum_{ k = 1}^{n}5","-3\,\frac{n\,(n + 1)}{-5} + 5\,n"
2,\textrm{wahr},"y = 4\,\cos{\left(4\,x + 5\right)} + 4",\left|y-4\right|  = 4
1,\textrm{wahr},"-3\,\sum_{ k = 1}^{n}k-\sum_{ k = 1}^{n}5","-3\,\frac{n\,(n + 1)}{5}-5\,n"
1,\textrm{wahr},"-3\,\sum_{ k = 1}^{n}k-\sum_{ k = 1}^{n}5","-3\,\frac{n\,(n + 1)}{1}-5\,n"
2,\textrm{wahr},"p{\left(x\right)} = (x-2)\,q{\left(x\right)} + r \cdot 2 \cdot 2-1-3 \cdot 1 \cdot 1\,\frac{2\, |\, 4 \cdot 12 \cdot 22 \cdot 38 \cdot 79}{2 \cdot 6 \cdot 11 \cdot 19 \cdot 39 \cdot 79}","p{\left(x\right)} = (x-2)\,(2\,x^{4} + 6\,x^{3} + 11\,x^{2} + 19\,x + 39) + 79"
2,\textrm{wahr},"y = 4\,\cos{\left(4\,x + 5\right)} + 4","y-4 = \cos{\left(4\,x + 5\right)}"
2,\textrm{wahr},"y-4 = \cos{\left(4\,x + 5\right)}",\left|y-4\right|  = 4
1,\textrm{wahr},"3\,\sum_{ k = 1}^{n}k + \sum_{ k = 1}^{n}1","3\,n\,(n + 1) + n"
1,\textrm{wahr},"3\,\sum_{ k = 1}^{n}k + \sum_{ k = 1}^{n}1","3\,n + 1"
1,\textrm{wahr},"(x^{3} + x^{2})\,2\,x^{2} + (x^{3} + x^{2})\,x + (x^{3} + x^{2}) \cdot 2","3\,x^{5} + 3\,x^{4} + 4\,x^{3} + 4\,x^{2}"
1,\textrm{wahr},"\sum_{ k = 1}^{n}\left(3\,k + 1\right)","3\,n + 1"
2,\textrm{wahr},\left( y\le 8\right) \wedge \left( y\ge 0\right),"\mathbb{L} = \left[0,8\right]"
1,\textrm{wahr},"3\,\sum_{ k = 1}^{n}k + \sum_{ k = 1}^{n}1","3\,\frac{n\,(n + 1)}{2}"
1,\textrm{wahr},"3\,\sum_{ k = 1}^{n}k + \sum_{ k = 1}^{n}1","3\,\frac{n\,(n + 1)}{2} + n + 1"
2,\textrm{wahr},"y = -4\,\cos{\left(4\,x-4\right)}-4","-y + 4 = 94\,\cos{\left(4\,x-4\right)}"
2,\textrm{wahr},"y = -4\,\cos{\left(4\,x-4\right)} + 4","-y + 4 = 94\,\cos{\left(4\,x-4\right)}"
2,\textrm{wahr},\left|y-4\right| \ge -4,\left( y-4\ge -4\right) \wedge \left( y-4\le 4\right)
2,\textrm{wahr},\left( y-4\ge -4\right) \wedge \left( y-4\le 4\right),\left( y\ge x\right) \wedge \left( y\le 8\right)
2,\textrm{wahr},\left|y-4\right| \ge -4,\left( y-4\ge -4\right) \vee \left( y-4\le 4\right)
2,\textrm{wahr},\left( y-4\ge -4\right) \vee \left( y-4\le 4\right),\left( y\ge x\right) \vee \left( y\le 8\right)
2,\textrm{wahr},-\frac{y}{4} + 1\le 1,\left( -\frac{y}{4} + 1\ge -1\right) \wedge \left( -\frac{y}{4} + 1\le 1\right)
2,\textrm{wahr},"y = 4\,\cos{\left(4\,x + 5\right)} + 4",\left|y-4\right|  = -4
2,\textrm{wahr},"y = 4\,\cos{\left(4\,x + 5\right)} + 4","\cos{\left(4\,x + 5\right)} = y-4"
1,n > 3,"\sum_{ k = 3}^{n}\left(-3\,k-5\right)","-\frac{3}{2}\,(n-2)\,(n-2-5)-11\,(n-2)"
1,\textrm{wahr},"(x^{3} + 3\,x^{2} + 3\,x)\,(2\,x^{2} + 2\,x + 1)","2\,x^{5} + 2\,x^{4} + x^{3} + 6\,x^{4} + 6\,x^{2} + 3\,x^{2} + 6\,x^{3} + 6\,x^{2} + 3\,x"
1,n > 4,"\sum_{ k = 4}^{n}\left(-3\,k + 3\right)","-3\,(\frac{n\,(n + 1)}{2}-4) + 3\,(n-2)"
2,\textrm{wahr},\begin{array}{r|rrrr}  & 2 & 1 & 2 & 5\\2 &  & 4 & 10 & 24\\ \hline  & 2 & 5 & 12 & 29\end{array},"p{\left(x\right)} = (x-2)\,(2\,x^{3} + 5\,x^{2} + 12) + 29"
2,\textrm{wahr},\Leftrightarrow \left|y + 3\right| \le 1,\left( y + 3\ge 1\right) \wedge \left( y + 3\le 1\right)
2,\textrm{wahr},\left( y + 3\ge 1\right) \wedge \left( y + 3\le 1\right),\left( y\ge -4\right) \wedge \left( y = -2\right)
2,\textrm{wahr},\frac{y-5}{2}\ge 1,\left( \frac{y-5}{2}\le -1\right) \wedge \left( \frac{y-5}{2}\ge 1\right)
2,\textrm{wahr},\frac{y-5}{2}\le 1,\left( \frac{y-5}{2}\ge -1\right) \wedge \left( \frac{y-5}{2}\le 1\right)
2,\textrm{wahr},\left( \frac{y-5}{2}\ge -1\right) \wedge \left( \frac{y-5}{2}\le 1\right),\left( y\le 3\right) \wedge \left( y\ge 7\right)
2,\textrm{wahr},\left( \frac{y + 2}{-2}\ge -1\right) \wedge \left( \frac{y + 2}{-2}\le 1\right),\left( y\ge 0\right) \wedge \left( y\le -4\right)
1,\textrm{wahr},"5\,\sum_{ k = 1}^{n}k + \sum_{ k = 1}^{n}-2","\frac{5 \cdot 1}{2}\,n\,(n-1)-2\,n"
1,\textrm{wahr},"\sum_{ k = 1}^{n}\left(-4\,k-2\right)","\sum_{ k = 1}^{n}-4\,k\,\sum_{ k = 1}^{n}2"
1,\textrm{wahr},"(x^{3} + x^{2} + 2\,x + 1)\,(x^{2} + 2\,x)","x^{3} + x^{2} + 2\,x + 1\,(x^{2} + 2\,x)"
1,\textrm{wahr},"x^{3} + x^{2} + 2\,x + 1\,(x^{2} + 2\,x)","x^{5} + 2\,x^{4} + x^{4} + 2\,x^{3} + 2\,x^{3} + 4\,x^{2} + x^{2} + 2\,x"
1,\textrm{wahr},"(+x + 2\,x + 1)\,(x^{2} + 2\,x)","x^{5} + 2\,x^{4} + x^{4} + 2\,x^{3} + 2\,x^{3} + 4\,x^{2} + x^{2} + 2\,x"
1,\textrm{wahr},"(x^{3} + x^{2} + 2\,x + 1)\,(x^{2} + 2\,x)","(+x + 2\,x + 1)\,(x^{2} + 2\,x)"
1,\textrm{wahr},"(x + x + 2\,x + 1)\,(x^{2} + 2\,x)","x^{5} + 2\,x^{4} + x^{4} + 2\,x^{3} + 2\,x^{3} + 4\,x^{2} + x^{2} + 2\,x"
1,\textrm{wahr},"(x^{3} + x^{2} + 2\,x + 1)\,(x^{2} + 2\,x)","(x + x + 2\,x + 1)\,(x^{2} + 2\,x)"
2,\textrm{wahr},"y = -2\,x^{2}-3\,x + 4","-\frac{1}{2}\,y = x^{2} + \frac{3}{2}\,x + \left( \frac{\frac{3}{2}}{2}\right)^{2}-\left( \frac{\frac{3}{2}}{2}\right)^{2}-4"
2,\textrm{wahr},"y = -2\,x^{2}-3\,x + 4","-\frac{1}{2}\,y = x^{2} + 3\,x-4"
2,\textrm{wahr},"-\frac{1}{2}\,y = x^{2} + 3\,x-4","-\frac{1}{2}\,y = x^{2} + \frac{3}{2}\,x + \left( \frac{\frac{3}{2}}{2}\right)^{2}-\left( \frac{\frac{3}{2}}{2}\right)^{2}-4"
2,\textrm{wahr},"-\frac{1}{2}\,y = x^{2} + \frac{3}{2}\,x + \left( \frac{\frac{3}{2}}{2}\right)^{2}-\left( \frac{\frac{3}{2}}{2}\right)^{2}-2","-\frac{1}{2}\,y = \left( x + \frac{\frac{3}{2}}{2}\right)^{2}-\frac{73}{16}"
2,\textrm{wahr},"-\frac{1}{2}\,y = \left( x + \frac{\frac{3}{2}}{2}\right)^{2}-\frac{41}{16}","-\frac{1}{2}\,(y + \frac{41}{16}) = \left( x + \frac{\frac{3}{2}}{2}\right)^{2}"
2,\textrm{wahr},\Leftrightarrow \left( y + 3\ge -1\right) \wedge \left( y + 3\le 1\right),\left( y\ge -4\right) \wedge \left( y\le -2\right)
2,\left( \left( y\neq 0\right) \wedge \left( x\neq 4\right)\right) \wedge \left( x\neq -5\right),"(x-4)\,(x + 5) = \frac{3}{y}",x^{2}-20 = \frac{3}{y}
2,\textrm{wahr},\Leftrightarrow \left( -y-2\ge 3\right) \wedge \left( -y-2\le -3\right),\left( y\le 5\right) \wedge \left( y\ge -1\right)
2,\textrm{wahr},\left( -\frac{y-2}{3}\ge 1\right) \wedge \left( -\frac{y-2}{3}\le -1\right),\left( -y-2\ge 3\right) \wedge \left( -y-2\le -3\right)
1,\textrm{wahr},"3\,x^{3} + 2\,x^{2} + 3\,x + 3-(3\,x^{4} + x^{3} + x + 2)","2\,x^{3} + 3\,x^{4} + 2\,x^{2} + 2\,x + 1"
2,x\neq \frac{1}{3},"f{\left(x\right)} = \frac{3\,x + 4}{-3\,x + 1}","y = \frac{3\,x + 4}{-3\,x + 1}"
2,\left( x\neq \frac{1}{3}\right) \wedge \left( y\neq 1\right),"x\,(-3\,y-3) = -1\,y + 5","x = \frac{-1\,y + 5}{-3\,y-3}"
2,x\neq \frac{1}{3},"-3\,x\,y + 1\,y = 3\,x + 4","-3\,x\,y-3\,x = -1\,y + 5"
2,\textrm{wahr},"y = x^{2} + 8\,x-2",y = \left( x + 4\right)^{2} + 18
1,\textrm{wahr},"x^{2} + 3\,x-1 + x^{3}-x^{2} + x",x^{2} + 3 + \left(-1\right) + x^{3}-x^{2} + x
1,\textrm{wahr},x^{2} + 3 + \left(-1\right) + x^{3}-x^{2} + x,"x^{3} + x^{2}-x^{2} + 3\,x + x-1"
2,\textrm{wahr},"f{\left(x\right)} = 3\,x^{2} + 2","y = 3\,x^{2} + 2"
2,\textrm{wahr},"y = 3\,x^{2} + 2","y = 3\,x^{+2}"
2,\textrm{wahr},"y = 3\,x^{+2}","y-2 = 3\,x^{2} + 2"
2,\textrm{wahr},"y-2 = 3\,x^{2} + 2","\frac{1}{3}\,(y-2) = x^{2}"
2,\textrm{wahr},"y = 3\,x^{2}-2\,x + 2","y = 3\,\left( x-1\right)^{2}-2"
2,\textrm{wahr},"y = 3\,\left( x-1\right)^{2}-2",\frac{y}{3} = \left( x-1\right)^{2}-2
2,\left( x\neq \frac{1}{3}\right) \wedge \left( y\neq 1\right),"x\,(-3\,y-3) = -1\,y + 4","x = \frac{-1\,y + 4}{-3\,y-3}"
1,\textrm{wahr},"(3\,x^{2} + x + 1)\,(2\,x + 1)","3\,x^{2} + x + 1\,(2\,x + 1)"
1,\textrm{wahr},"3\,x^{2} + x + 1\,(2\,x + 1)","6\,x^{3} + 3\,x^{2} + 2\,x^{2} + 2\,x + x + 1"
2,\textrm{wahr},"y = 3\,x^{2}-2\,x + 2",\frac{y}{3} = \left( x-1\right)^{2}-2
2,y\neq 0,4\ge \frac{4}{y},"4\,y\ge 4"
2,y\neq 0,"y\,(x^{2} + 4) = 4",x^{2} = \frac{4}{y}-4
2,\left( x\neq \frac{1}{3}\right) \wedge \left( y\neq 1\right),"x\,(-3\,y-3) = -1\,y + 4","x = \frac{-1\,y + 4}{3\,y + 3}"
2,\textrm{wahr},"y = 2\,x^{2} + 2\,x + 2",y = x^{2} + x + 1
2,\textrm{wahr},\begin{array}{r|rrr}  & 5 & 5 & 5\\1 &  & 5 & 10\\ \hline  & 5 & 10 & 15\end{array},"p{\left(x\right)} = (x-1)\,(5\,x^{2} + 10) + 15"
2,\textrm{wahr},"1 \cdot 4 \cdot 5 \cdot 1 \cdot 4\,\frac{1\, |\, 1 \cdot 5 \cdot 10 \cdot 11}{1 \cdot 5 \cdot 10 \cdot 11 \cdot 14}","p{\left(x\right)} = (x-1)\,(1\,x^{3} + 5\,x^{2} + 10\,x + 11) + 14"
1,\textrm{wahr},"x + 2-(x^{4} + 4\,x^{3} + x^{2} + 2\,x)","x + 2-x^{4} + 4\,x^{3} + x^{2} + 2\,x"
1,\textrm{wahr},"x + 2-x^{4} + 4\,x^{3} + x^{2} + 2\,x","x^{4} + 4\,x^{3} + x^{2}-x + 2"
1,\textrm{wahr},"x + 2-x^{4} + 4\,x^{3} + x^{2} + 2\,x","-x^{4}-4\,x^{3}-x^{2}-x + 2"
2,\textrm{wahr},\begin{array}{r|rrrrrr}  & 1 & 3 & 2 & 5 & 5 & 5\\1 &  & 3 & 6 & 8 & 13 & 18\\ \hline  & 1 & 6 & 8 & 13 & 18 & 23\end{array},"p{\left(x\right)} = (x + 2)\,(x^{4} + 6\,x^{3} + 8\,x^{2} + 13\,x + 18) + 23"
2,\textrm{wahr},\begin{array}{r|rrrrr}  & 1 & 4 & 5 & 1 & 4\\1 &  & 1 & 5 & 10 & 11\\ \hline  & 1 & 5 & 10 & 11 & 14\end{array},"p{\left(x\right)} = (x-1)\,(1\,x^{3} + 5\,x^{2} + 10\,x + 11) + 14"
2,\textrm{wahr},\begin{array}{r|rrrrrr}  & 1 & 3 & 2 & 5 & 5 & 5\\-2 &  & 2 & -10 & 16 & -42 & 74\\ \hline  & -1 & 5 & -8 & 21 & -37 & 79\end{array},"p{\left(x\right)} = (x + 2)\,(-x^{4} + 5\,x^{3}-8\,x^{2} + 21\,x-37) + 79"
1,\textrm{wahr},"2\,r\,(-4\,r + 3\,m)-2\,m\,(4\,r-4\,m)","-8\,r + 6\,r\,m-8\,r\,m + 8\,m^{2}"
1,\textrm{wahr},"-8\,r + 6\,r\,m-8\,r\,m + 8\,m^{2}","-8\,r + 8\,m^{2} \cdot 2\,r\,m"
1,\textrm{wahr},"2\,p\,(-2\,p-4\,g) + 2\,g\,(-4\,p-4\,g)","-4\,p^{2}-8\,g^{2}-16\,p\,g-4\,p^{2}-8\,p\,g-8\,p\,g-8\,g^{2}"
2,y\neq 0,"y\,x^{2} + 8\,y = -3","x^{2} = \frac{-3-8\,y}{y}"
2,\textrm{wahr},"r-4 = 4\,r + 4","-3\,r = 0"
2,\textrm{wahr},"-5\,\cos{\left(2\,x + 6\right)} = y-1","\cos{\left(2\,x + 6\right)} = \frac{y-1}{5}"
2,\textrm{wahr},"-3\,r = 8",r = -\frac{3}{8}
2,\textrm{wahr},\left( \frac{y-1}{-5}\ge -1\right) \wedge \left( \frac{y-1}{-5}\le 1\right),\left( y\ge 6\right) \wedge \left( y\le -4\right)
2,\left( \left( y\neq 0\right) \wedge \left( x\neq -3\right)\right) \wedge \left( x\neq -1\right),"\Leftrightarrow (x + 3)\,(x + 1)-\frac{2}{y} = 0","x^{2} + x + 3\,x + 3-\frac{2}{y} = 0"
