category,assumptions,t0,t1
2,\textrm{wahr},\left( x-\frac{5}{2} > \frac{\sqrt{33}}{2}\right) \wedge \left( x-\frac{5}{2} < \frac{\sqrt{33}}{2}\right),"\left( x < \frac{8 + 5\,\sqrt{33}}{10}\right) \wedge \left( x > \frac{4 + 5\,\sqrt{33}}{10}\right)"
2,\textrm{wahr},"\left( 8\,x\ge \left|x + 4\right| \right) \wedge \left( 8\,x < -4\right)",-(x + 4)\le 8
2,\textrm{wahr},"-1\,l < -r-4","l\ge -\frac{1}{1}\,r-\frac{4}{1}"
2,\left( x\neq -1\right) \wedge \left( x > -1\right),"\frac{3\,x + 8}{3\,x + 3} < 3","3\,x + 3 < 3\,(3\,x + 3)"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"\frac{3\,x + 8}{3\,x + 3} < 3","3\,x + 3 > 3\,(3\,x + 3)"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 3 > 3\,(3\,x + 3)","3\,x + 3 < 9\,x + 9"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 3 < 9\,x + 9","-6\,x > 6"
2,\left( x\neq -1\right) \wedge \left( x > -1\right),"\frac{3\,x + 8}{3\,x + 3} < 3","3\,x + 3 < 3\,(3\,x + 3)"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"\frac{3\,x + 8}{3\,x + 3} < 3","3\,x + 3 > 3\,(3\,x + 3)"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 3 > 3\,(3\,x + 3)","3\,x + 3 < 9\,x + 9"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 3 < 9\,x + 9","-6\,x > 6"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 8 > 3\,(3\,x + 3)","3\,x + 8 < 9\,x + 9"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 8 < 9\,x + 9","-6\,x > 1"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 8 > 3\,(3\,x + 3)","3\,x + 8 < 9\,x + 9"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 8 < 9\,x + 9","-6\,x > 1"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"3\,x + 8 > 9\,x + 9","-6\,x < 1"
2,\left( x\neq -1\right) \wedge \left( x < -1\right),"-6\,x < 1",x < -\frac{1}{6}
2,\textrm{wahr},"-1\,l + 4 < -r","-1\,l < -r-4\,\left|+1\right|  + 1"
2,\left( x\neq \frac{1}{2}\right) \wedge \left( x > \frac{1}{2}\right),"\frac{x + 1}{2\,x-1} > 1","x + 1 > 2\,x + 1"
2,\left( x\neq \frac{1}{2}\right) \wedge \left( x > \frac{1}{2}\right),"x + 1 > 2\,x + 1",-x > -2
2,\textrm{wahr},"-x^{2} + 2\,x + 4 > 0","-x^{2} + 2\,x + 1^{2} + 1^{2} + 4 > 0"
2,\textrm{wahr},\left|x-1\right|  > \sqrt{5},\left( x-1 < \sqrt{5}\right) \vee \left( x-1 > -\sqrt{5}\right)
2,x < \frac{7}{4},"-(4\,x + 7) > 1","4\,x + 7 > -1"
2,x < \frac{7}{4},"-(4\,x + 7) > 1","4\,x + 7 > -1"
2,x < \frac{7}{4},"-(4\,x + 7) > 1","4\,x + 7 > -1"
2,x < \frac{7}{4},"-(4\,x + 7) > 1","4\,x + 7 > -1"
2,x < \frac{7}{4},"-(4\,x + 7) > 1","4\,x + 7 > -1"
2,x < \frac{7}{4},"-(4\,x + 7) > 1","4\,x + 7 > -1"
2,\textrm{wahr},"\left|5\,x-5\right|  > 2","\left|5\,x + 5\right|  > 2"
2,\textrm{wahr},"\left|5\,x + 5\right|  > 2",\left|x + 2\right|  > \frac{2}{5}
2,\left( x\neq -2.5\right) \wedge \left( x < -2.5\right),"-6\,x + 5 < -8\,x-20","-2\,x + 5 < -20"
2,\left( x\neq -2.5\right) \wedge \left( x > -2.5\right),"-2\,x > -25",x > -12.5
2,\left( x\neq -2.5\right) \wedge \left( x > -2.5\right),"-6\,x + 5 > -8\,x-20","-2\,x + 5 > -20"
2,\textrm{wahr},"5\,k > +5\,s-1",k < s-\frac{1}{5}
2,\left( x\neq \frac{1}{2}\right) \wedge \left( x < \frac{1}{2}\right),"\frac{x + 1}{2\,x + 1} > 1","x + 1 < 2\,x-1"
2,\left( x\neq -2.5\right) \wedge \left( x < -2.5\right),"2\,x < -25",x > -12.5
2,\left( x\neq -2.5\right) \wedge \left( x > -2.5\right),"-6\,x + 5 > -8\,x-20","-2\,x + 5 > -20"
2,\left( x\neq -2.5\right) \wedge \left( x > -2.5\right),"-2\,x > -25",x > -12.5
2,\left( x\neq \frac{1}{2}\right) \wedge \left( x < \frac{1}{2}\right),"\frac{x + 1}{2\,x + 1} > 1","x + 1 > 2\,x-1"
2,\left( x\neq \frac{1}{2}\right) \wedge \left( x < \frac{1}{2}\right),"\frac{x + 1}{2\,x + 1} > 1","x + 1 > 2\,x-1"
2,\textrm{wahr},\left( x + \frac{5}{2} < \frac{\sqrt{17}}{2}\right) \wedge \left( x + \frac{5}{2} > -\frac{\sqrt{17}}{2}\right),"\left( x < \frac{-5\,\sqrt{17}}{4}\right) \wedge \left( x > \frac{-5 + \sqrt{17}}{2}\right)"
2,\textrm{wahr},\left( x + \frac{5}{2} < \frac{\sqrt{17}}{2}\right) \wedge \left( x + \frac{5}{2} > -\frac{\sqrt{17}}{2}\right),\left( x < \frac{\sqrt{17}-5}{2}\right) \wedge \left( x > \frac{-\sqrt{17} + 5}{2}\right)
2,\textrm{wahr},"-2\,d + 4 > 4\,d-l","6\,d > l + 4"
2,\textrm{wahr},\left( x + \frac{5}{2} < \frac{\sqrt{17}}{2}\right) \wedge \left( x + \frac{5}{2} > -\frac{\sqrt{17}}{2}\right),\left( x < \frac{\sqrt{17}-5}{2}\right) \wedge \left( x > \frac{-\sqrt{17} + 5}{2}\right)
2,\textrm{wahr},\left|x + 1\right|  < 6,x + 1 < 6
2,\textrm{wahr},\left|x + 1\right|  < 6,x + 1 < 6
2,\textrm{wahr},\left|x + 1\right|  < 6,x + 1 < 6
2,\textrm{wahr},\left|x + 1\right|  < 6,x + 1 < 6
2,\textrm{wahr},\left|x + 3\right|  < 5,x < 2
2,\textrm{wahr},\left|x + 3\right|  < 5,x + 3 > -5
2,\textrm{wahr},\left|x + 1\right|  < 6,x + 1 < 6
2,\textrm{wahr},\left|x + 1\right|  < 6,x + 1 < 6
2,\textrm{wahr},\left|x + 1\right|  < 6,x + 1 < 6
2,\left( x\neq -0.5\right) \wedge \left( x < -\frac{2}{4}\right),"\frac{4\,x + 7}{4\,x + 2} < 2","4\,x + 7 > x + 4"
2,\left( x\neq -0.5\right) \wedge \left( x < -\frac{2}{4}\right),"4\,x + 7 > x + 4","-4\,x > -3"
2,\left( x\neq 1\right) \wedge \left( x < 1\right),"8\,x < 14",x < \frac{4}{7}
2,\left( x\neq 1\right) \wedge \left( x > 1\right),"8\,x > 14",x > \frac{4}{7}
2,x\ge 2,"2\,x-4 > 1",x > 2
2,x\ge 2,"2\,x-4 > 1",x > 2
2,x\ge 2,"2\,x-4 > 1",x > 2
2,\left( x\neq -1.5\right) \wedge \left( x > \frac{6}{4}\right),"-2\,x-9 > 24\,x + 36","-2\,x > 24\,x + 27"
2,\left( x\neq -1.5\right) \wedge \left( x < \frac{6}{4}\right),"\frac{-2\,x-9}{4\,x + 6} > 6","-2\,x-9 < 24\,x + 36"
2,\left( x\neq -1.5\right) \wedge \left( x < \frac{6}{4}\right),"-2\,x-9 < 24\,x + 36","-2\,x < 24\,x + 27"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 < 7\,(5\,x + 4)"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 < 7\,(5\,x + 4)"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 < 35\,x + 28"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 > 7\,(5\,x + 4)"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 > 7\,(5\,x + 4)"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 < 7\,(5\,x + 4)"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"5\,x + 6 < 7\,(5\,x + 4)","5\,x + 6 > 35\,x + 28"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 > 7\,(5\,x + 4)"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 > 7\,(5\,x + 4)"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 > 7\,(5\,x + 4)"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 > 5\,x + 4"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"5\,x + 6 > 5\,x + 4","5\,x + 6 > 35\,x + 2"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"5\,x + 6 < 5\,x + 4","5\,x + 6 > 35\,x + 2"
2,\left( x\neq -0.8\right) \wedge \left( x < 7\right),"\frac{5\,x + 6}{5\,x + 4} < 7","5\,x + 6 < 5\,x + 4"
2,x\neq 1,"\frac{-2\,x-8}{-6\,x + 6} > 5","\left( -2\,x-8 > 5\,(-6\,x + 6)\right) \vee \left( -2\,x-8 < 5\,(-6\,x + 6)\right)"
2,\textrm{wahr},\left( x + \frac{5}{2}\right)^{2} < \frac{41}{4},\left|x + \frac{5}{2}\right| ^{2} < \frac{41}{2}
2,\textrm{wahr},\left|x + \frac{5}{2}\right| ^{2} < \frac{41}{2},\left|x + \frac{5}{2}\right|  < \frac{\sqrt{41}}{2}
2,\textrm{wahr},\left|x + \frac{5}{2}\right|  < \frac{\sqrt{41}}{2},\left( x + 5 > -\frac{\sqrt{41}}{2}\right) \wedge \left( x + \frac{5}{2} < \frac{\sqrt{41}}{2}\right)
2,\textrm{wahr},\left( x + 5 > -\frac{\sqrt{41}}{2}\right) \wedge \left( x + \frac{5}{2} < \frac{\sqrt{41}}{2}\right),\left( x > \frac{-5-\sqrt{41}}{2}\right) \wedge \left( x < \frac{-5 + \sqrt{41}}{2}\right)
2,\textrm{wahr},"2\,x-1 < -x + 2\,q","3\,x < 2\,q-1"
2,\textrm{wahr},"-3\,t-1 < -4\,t + 3\,v","t > 3\,v + 1"
2,\textrm{wahr},"u-3 < -3\,u-4\,y","4\,u > -4\,y + 3"
2,\textrm{wahr},"u-3 < -3\,u-4\,y","4\,u > -4\,y + 3"
2,\left( x\neq -0.8\right) \wedge \left( x > -\frac{4}{5}\right),"\frac{2\,x-9}{-5\,x-4} > 3","2\,x-9 > -15\,x-12"
2,\left( x\neq -0.8\right) \wedge \left( x < -\frac{4}{5}\right),"\frac{2\,x-9}{-5\,x-4} > 3","2\,x-9 < -15\,x-12"
2,\left( x\neq -0.8\right) \wedge \left( x > -\frac{4}{5}\right),"\frac{2\,x-9}{-5\,x-4} > 3","2\,x-9 > -15\,x-12"
2,\left( x\neq -0.8\right) \wedge \left( x > -\frac{4}{5}\right),"\frac{2\,x-9}{-5\,x-4} > 3","2\,x-9 > -15\,x-12"
2,\left( \left( x\neq -0.8\right) \wedge \left( x > -\frac{4}{5}\right)\right) \wedge \left( x < -\frac{4}{5}\right),"\frac{2\,x-9}{-5\,x-4} > 3","2\,x-9 > -15\,x-12"
2,\left( \left( x\neq -0.8\right) \wedge \left( x > -\frac{4}{5}\right)\right) \wedge \left( x < -\frac{4}{5}\right),"2\,x-9 > -15\,x-12","17\,x > -3"
2,\left( \left( x\neq -0.8\right) \wedge \left( x > -\frac{4}{5}\right)\right) \wedge \left( x < -\frac{4}{5}\right),"17\,x > -3",x > -\frac{3}{17}
2,\left( x\neq -2.3333333333333335\right) \wedge \left( x > -\frac{7}{3}\right),x < 1,-x < -1
2,\left( x\neq -2.3333333333333335\right) \wedge \left( x > -\frac{7}{3}\right),x > 1,-x > -1
2,\textrm{wahr},"\left|7\,x + 8\right|  < 1","-(7\,x + 8) < 1"
2,\textrm{wahr},"\left|7\,x + 8\right|  < 1","-(7\,x + 8) < 1"
2,y\neq 0,\left( 0\le \sqrt{\frac{-3}{y}-2}\right) \wedge \left( 0 > \sqrt{\frac{-3}{y}-2}\right),\frac{-3}{y}-2\ge 0
2,\textrm{wahr},y + 2 > 0,y > -4
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq -3\right)\right) \wedge \left( x\neq 3\right)\right) \wedge \left( y < 0\right),-9 < \frac{1}{y},"-9\,y < 1"
2,\left( \left( y\neq 0\right) \wedge \left( y > 0\right)\right) \wedge \left( y < 0\right),"5\,y > -4",y\ge -\frac{4}{5}
2,\textrm{wahr},\left|y-2\right|  < 4,\left( y-2\ge -4\right) \wedge \left( y-2\le 4\right)
2,\textrm{wahr},\left|y-2\right|  > 4,\left( y-2\ge -4\right) \wedge \left( y-2\le 4\right)
2,\textrm{wahr},\left|y-2\right|  < -4,\left( y-2\ge -4\right) \wedge \left( y-2\le 4\right)
2,\textrm{wahr},\left|y-2\right|  > -4,\left( y-2\ge -4\right) \wedge \left( y-2\le 4\right)
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),-\frac{4}{5} > y,"\mathbb{L} = \big(-\infty ,-\frac{4}{5}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),\frac{5}{y} < -\frac{25}{4},"5 < -\frac{25\,y}{4}"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),\frac{5}{y} < -\frac{25}{4},"5 < -\frac{25\,y}{4}"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),-\frac{4}{5} > y,"\mathbb{L} = \big(-\infty ,-\frac{4}{5}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),\frac{5}{y} < -\frac{25}{4},"5 < -\frac{25\,y}{4}"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),-\frac{4}{5} > y,"\mathbb{L} = \big(-\infty ,-\frac{4}{5}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),\frac{5}{y} < -\frac{25}{4},"5 < -\frac{25\,y}{4}"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),-\frac{4}{5} > y,"\mathbb{L} = \big(-\infty ,-\frac{4}{5}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),\frac{5}{y} < -\frac{25}{4},"5 < -\frac{25\,y}{4}"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),-\frac{4}{5} > y,"\mathbb{L} = \big(-\infty ,-\frac{4}{5}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),\frac{5}{y} < -\frac{25}{4},"5 < -\frac{25\,y}{4}"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq -4\right)\right) \wedge \left( y < 0\right),-\frac{4}{5} > y,"\mathbb{L} = \big(-\infty ,-\frac{4}{5}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),-\frac{1}{4} > y,"\mathbb{L} = \big(-\infty ,-\frac{1}{4}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),-\frac{1}{4} > y,"\mathbb{L} = \big(-\infty ,-\frac{1}{4}\big)"
2,\left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right),\left( 3 + \sqrt{3^{2}-5 + \frac{1}{y}}\ge 0\right) \wedge \left( 3-\sqrt{3^{2}-5 + \frac{1}{y}} < 0\right),\frac{1}{y}\ge -4
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),-\frac{1}{4} > y,"\mathbb{L} = \big(-\infty ,-\frac{1}{4}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),-\frac{1}{4} > y,"\mathbb{L} = \big(-\infty ,-\frac{1}{4}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),-\frac{1}{4} > y,"\mathbb{L} = \big(-\infty ,-\frac{1}{4}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),-\frac{1}{4} > y,"\mathbb{L} = \big(-\infty ,-\frac{1}{4}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),-\frac{1}{4} > y,"\mathbb{L} = \big(-\infty ,-\frac{1}{4}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),-\frac{1}{4} > y,"\mathbb{L} = \big(-\infty ,-\frac{1}{4}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),-\frac{1}{4} > y,"\mathbb{L} = \big(-\infty ,-\frac{1}{4}\big)"
2,\left( \left( \left( y\neq 0\right) \wedge \left( x\neq 1\right)\right) \wedge \left( x\neq 5\right)\right) \wedge \left( y < 0\right),\frac{1}{y} < -4,"1 < -4\,y"
