,category,labels_dbscan,labels_kmeans,labels_agglo,processed_t0,processed_t1,t0,t1,assumptions
10,1,-1,1,3,"98\,x + 10\,y","2 \cdot (49 + 10\,x)","98\,t + 10\,w","2 \cdot (49 + 10\,w)",\textrm{wahr}
11,1,-1,1,3,"98\,x + 10\,y","2\,(49\,x + 10\,y)","98\,t + 10\,w","2\,(49\,t + 10\,w)",\textrm{wahr}
12,2,0,4,6,"x^{2} + x-3 = 4\,x^{2}-12\,x + 9","-3\,x^{2} + 13\,x + 6 = 0","x^{2} + x-3 = 4\,x^{2}-12\,x + 9","-3\,x^{2} + 13\,x + 6 = 0",\textrm{wahr}
13,1,-1,4,0,"3 \cdot 5 + 3 \cdot 4\,x-4\,x \cdot 5-4\,x \cdot 4\,x","15-12\,x-20\,x-16\,x^{2}","3 \cdot 5 + 3 \cdot 4\,i-4\,i \cdot 5-4\,i \cdot 4\,i","15-12\,i-20\,i-16\,i^{2}",\textrm{wahr}
14,1,-1,4,0,"15-12\,x-20\,x-16\,x^{2}","15-8\,x-16\,x^{2}","15-12\,i-20\,i-16\,i^{2}","15-8\,i-16\,i^{2}",\textrm{wahr}
15,1,0,4,6,"x^{2}-4\,x-1\,x + 4","x \cdot 2-5\,x + 4","u^{2}-4\,u-1\,u + 4","u \cdot 2-5\,u + 4",\textrm{wahr}
16,1,-1,2,2,"\frac{4-4\,x}{3 + x}\,\frac{3-x}{3-x}","\frac{8-13\,x}{10}","\frac{4-4\,i}{3 + i}\,\frac{3-i}{3-i}","\frac{8-13\,i}{10}",\textrm{wahr}
17,1,-1,1,1,"-3\,x\,(-x-4\,y) + 3\,y\,(-x + 3\,y)","3\,x^{2} + 12\,x\,y-3\,x\,y + 9\,y^{3}","-3\,d\,(-d-4\,t) + 3\,t\,(-d + 3\,t)","3\,d^{2} + 12\,d\,t-3\,d\,t + 9\,t^{3}",\textrm{wahr}
18,1,-1,4,1,"3\,x^{2} + 12\,x\,y-3\,x\,y + 9\,y^{3}","3\,x^{2} + 9\,x\,y + 9\,y^{2}","3\,d^{2} + 12\,d\,t-3\,d\,t + 9\,t^{3}","3\,d^{2} + 9\,d\,t + 9\,t^{2}",\textrm{wahr}
19,1,-1,4,1,"3\,x^{2} + 12\,x\,y-3\,x\,y + 9\,y^{2}","3\,x^{2} + 9\,x\,y + 9\,y^{3}","3\,d^{2} + 12\,d\,t-3\,d\,t + 9\,t^{2}","3\,d^{2} + 9\,d\,t + 9\,t^{3}",\textrm{wahr}
20,1,0,2,6,"(x-2)\,(x + 1)",x-x-2,"(h-2)\,(h + 1)",h-h-2,\textrm{wahr}
21,1,-1,5,1,"4\,(6\,y + 6\,x)-5\,(2\,y-2\,x)","24\,y + 24\,x-10\,y + 4\,x","4\,(6\,m + 6\,c)-5\,(2\,m-2\,c)","24\,m + 24\,c-10\,m + 4\,c",\textrm{wahr}
22,1,-1,1,1,"24\,y + 24\,x-10\,y + 4\,x","14\,y + 34\,x","24\,m + 24\,c-10\,m + 4\,c","14\,m + 34\,c",\textrm{wahr}
23,1,0,4,6,"(x + 4)\,(x + 3)","x\,(x + 3) + 4\,(x + 4)","(d + 4)\,(d + 3)","d\,(d + 3) + 4\,(d + 4)",\textrm{wahr}
24,1,0,4,6,"x\,(x + 3) + 4\,(x + 4)","x^{2} + 3\,x + 4\,x + 12","d\,(d + 3) + 4\,(d + 4)","d^{2} + 3\,d + 4\,d + 12",\textrm{wahr}
25,1,-1,5,3,"175\,y + 10\,x","10\,\big(17,5\,y + x\big)","175\,s + 10\,p","10\,\big(17,5\,s + p\big)",\textrm{wahr}
26,1,0,4,6,\left( x + 1\right)^{2},x^{2} + x + 1,\left( f + 1\right)^{2},f^{2} + f + 1,\textrm{wahr}
27,1,0,4,6,\left( x-2\right)^{2},"x^{2}-4\,X + 4",\left( l-2\right)^{2},"l^{2}-4\,L + 4",\textrm{wahr}
28,1,0,4,6,"\left( 2\,x-1\right)^{2}","4\,x^{2}-1","\left( 2\,k-1\right)^{2}","4\,k^{2}-1",\textrm{wahr}
29,1,-1,1,1,"\left( 2\,y-2\,y-3\right)^{2}","4\,y^{2}-4\,y^{2}-9 + 2 \cdot 2\,y\,(-2\,y) + 2 \cdot 2\,y\,(-3) + 2\,(-2\,y)\,(-3)","\left( 2\,x-2\,k-3\right)^{2}","4\,x^{2}-4\,k^{2}-9 + 2 \cdot 2\,x\,(-2\,k) + 2 \cdot 2\,x\,(-3) + 2\,(-2\,k)\,(-3)",\textrm{wahr}
30,1,-1,1,1,"4\,y^{2} + 4\,y^{2} + 9 + 2 \cdot 2\,y\,(-2\,y) + 2 \cdot 2\,y\,(-3) + 2\,(-2\,y)\,(-3)","4\,y^{2} + 4\,y^{2} + 9-4\,y\,y-12\,y + 12\,y","4\,x^{2} + 4\,k^{2} + 9 + 2 \cdot 2\,x\,(-2\,k) + 2 \cdot 2\,x\,(-3) + 2\,(-2\,k)\,(-3)","4\,x^{2} + 4\,k^{2} + 9-4\,x\,k-12\,x + 12\,k",\textrm{wahr}
31,1,-1,1,1,"4\,y^{2} + 4\,y^{2} + 9 + 2 \cdot 2\,y\,(-2\,y) + 2 \cdot 2\,y\,(-3) + 2\,(-2\,y)\,(-3)","4\,y^{2} + 4\,y^{2} + 9-8\,y-12\,y + 12\,y","4\,x^{2} + 4\,k^{2} + 9 + 2 \cdot 2\,x\,(-2\,k) + 2 \cdot 2\,x\,(-3) + 2\,(-2\,k)\,(-3)","4\,x^{2} + 4\,k^{2} + 9-8\,k-12\,x + 12\,k",\textrm{wahr}
32,1,0,1,1,"y\,(x + 4)","X\,x + 4\,y","w\,(u + 4)","W\,u + 4\,w",\textrm{wahr}
33,1,0,1,1,"y\,(x + 4)","\omega\,x + 4\,y","w\,(u + 4)","\omega\,u + 4\,w",\textrm{wahr}
34,1,0,4,6,"(x-4)\,(x-1)","x^{2}-1\,x-4\,x-4","(m-4)\,(m-1)","m^{2}-1\,m-4\,m-4",\textrm{wahr}
35,1,0,4,6,"x^{2}-1\,x-4\,x-4","x^{2}-5\,x + 4","m^{2}-1\,m-4\,m-4","m^{2}-5\,m + 4",\textrm{wahr}
36,1,0,4,6,"x\,(x + 3) + 1\,(x + 3)","x^{2} + 3\,x + x + 4","z\,(z + 3) + 1\,(z + 3)","z^{2} + 3\,z + z + 4",\textrm{wahr}
37,1,0,4,6,"x^{2} + 3\,x + x + 4","x^{2} + 4\,x + 3","z^{2} + 3\,z + z + 4","z^{2} + 4\,z + 3",\textrm{wahr}
38,1,0,2,6,"(x + 1)\,(x + 3)","x\,(x + 3) + 2\,(x + 3)","(z + 1)\,(z + 3)","z\,(z + 3) + 2\,(z + 3)",\textrm{wahr}
39,1,0,4,6,"x\,(x + 3) + 2\,(x + 3)","x^{2} + 3\,x + x + 3","z\,(z + 3) + 2\,(z + 3)","z^{2} + 3\,z + z + 3",\textrm{wahr}
40,2,0,2,6,-2-3 = x + 3,"-3\,x = 6",-2-3 = b + 3,"-3\,b = 6",\textrm{wahr}
41,2,0,1,1,"-4\,y + 2 = 4\,y-x",2 = -x,"-4\,s + 2 = 4\,s-r",2 = -r,\textrm{wahr}
42,2,0,1,6,"-8\,y = -x-2","-8\,y = 2\,x","-8\,s = -r-2","-8\,s = 2\,r",\textrm{wahr}
43,2,0,1,6,"-8\,y = -x-2","-8\,y = -2\,x","-8\,s = -r-2","-8\,s = -2\,r",\textrm{wahr}
44,2,0,1,1,"x + 2 = 4\,x-y","3\,x = -y-2","n + 2 = 4\,n-o","3\,n = -o-2",\textrm{wahr}
45,2,-1,1,1,x = 2,X = \left\{2\right\},h = 2,L = \left\{2\right\},\textrm{wahr}
46,2,0,1,1,"-4\,x = -2\,y-2",x = \frac{y}{2}-\frac{1}{2},"-4\,c = -2\,w-2",c = \frac{w}{2}-\frac{1}{2},\textrm{wahr}
47,2,0,1,1,"-4\,x = -2\,y-2","x = \frac{2\,y}{4}-\frac{2}{4}","-4\,c = -2\,w-2","c = \frac{2\,w}{4}-\frac{2}{4}",\textrm{wahr}
48,2,0,1,1,"-x = -\frac{2\,y}{4}-\frac{2}{4}",x = \frac{y}{2}-\frac{1}{2},"-c = -\frac{2\,w}{4}-\frac{2}{4}",c = \frac{w}{2}-\frac{1}{2},\textrm{wahr}
49,2,0,5,2,"5\,y = -5\,x-1",y = -x-0,"5\,l = -5\,b-1",l = -b-0,\textrm{wahr}
50,2,0,1,1,"-4\,x-3 = 3\,x-y","-3 = -1\,x-y","-4\,n-3 = 3\,n-y","-3 = -1\,n-y",\textrm{wahr}
51,2,0,1,1,"7\,y-4 = 4\,x",\mathbb{X} = \left\{\frac{1}{8}\right\},"7\,s-4 = 4\,c",\mathbb{L} = \left\{\frac{1}{8}\right\},\textrm{wahr}
52,2,0,5,2,"-5\,x + 1 = 2\,x-5","7\,x = -6","-5\,z + 1 = 2\,z-5","7\,z = -6",\textrm{wahr}
53,2,0,1,1,"3\,x + 1 = -x + y",x = \frac{y + 1}{4},"3\,c + 1 = -c + m",c = \frac{m + 1}{4},\textrm{wahr}
54,2,26,4,0,"x^{2} + 7\,x + 10 = 0",x^{2} + \left( \frac{7}{2}\right)^{2}-\left( \frac{7}{2}\right)^{2} + 10 = 0,"q^{2} + 7\,q + 10 = 0",q^{2} + \left( \frac{7}{2}\right)^{2}-\left( \frac{7}{2}\right)^{2} + 10 = 0,\textrm{wahr}
55,2,-1,4,0,x^{2} = -10,x = \sqrt{10},q^{2} = -10,q = \sqrt{10},\textrm{wahr}
56,2,0,1,1,"3\,x + 1 = -x + y",4 + 1 = x,"3\,c + 1 = -c + m",4 + 1 = m,\textrm{wahr}
57,2,0,1,1,"4 = 3\,x + 4\,\nu","y = 3\,x-4 + 4\,\nu","4 = 3\,d + 4\,\nu","o = 3\,d-4 + 4\,\nu",\textrm{wahr}
58,2,0,1,1,"y = 3\,x-4 + 4\,\nu","-4\,\nu = 3\,x-4","o = 3\,d-4 + 4\,\nu","-4\,\nu = 3\,d-4",\textrm{wahr}
59,2,0,1,1,"4 = 3\,x + 4\,y","y = 3\,x-4 + 4\,z","4 = 3\,d + 4\,v","o = 3\,d-4 + 4\,v",\textrm{wahr}
60,2,0,1,1,"y = 3\,x-4 + 4\,z","-4\,y = 3\,x-4","o = 3\,d-4 + 4\,v","-4\,v = 3\,d-4",\textrm{wahr}
61,2,0,1,1,"4 = 3\,x + 4\,y","y = 3\,x + 4 + 4\,z","4 = 3\,d + 4\,v","o = 3\,d + 4 + 4\,v",\textrm{wahr}
62,2,0,1,1,"y = 3\,x + 4 + 4\,z","-4\,y = 3\,x + 4","o = 3\,d + 4 + 4\,v","-4\,v = 3\,d + 4",\textrm{wahr}
63,2,0,1,1,"4 = 3\,x + 4\,y","y = 3\,x + 4\,z-4","4 = 3\,d + 4\,v","o = 3\,d + 4\,v-4",\textrm{wahr}
64,2,0,1,1,"y = 3\,x + 4\,z-4","-4\,y = 3\,x-4","o = 3\,d + 4\,v-4","-4\,v = 3\,d-4",\textrm{wahr}
65,2,0,5,2,"\left( 5\,x = -3\right) \vee \left( -2\,x = 3\right)",\left( x = -\frac{3}{5}\right) \vee \left( x = -\frac{3}{2}\right),"\left( 5\,c = -3\right) \vee \left( -2\,c = 3\right)",\left( s = -\frac{3}{5}\right) \vee \left( s = -\frac{3}{2}\right),\textrm{wahr}
66,2,-1,4,6,"x^{2}-8\,x + 64-64 = -15",\left( x-8\right)^{2}-64 = -15,"c^{2}-8\,c + 64-64 = -15",\left( c-8\right)^{2}-64 = -15,\textrm{wahr}
67,2,-1,4,6,"x^{2}-8\,x + 64 = 49",\left( x-8\right)^{2} = 49,"c^{2}-8\,c + 64 = 49",\left( c-8\right)^{2} = 49,\textrm{wahr}
68,2,1,1,1,z-\frac{y}{z-y} = \frac{z}{z-y},z-y = z,m-\frac{u}{x-u} = \frac{x}{x-u},m-u = x,\left( x\neq u\right) \wedge \left( m\neq 1\right)
69,2,1,1,1,z-\frac{y}{z-y} = \frac{z}{z-y},z = z-y,m-\frac{u}{x-u} = \frac{x}{x-u},x = m-u,\left( x\neq u\right) \wedge \left( m\neq 1\right)
70,2,1,1,1,z-\frac{y}{z-y} = \frac{z}{z-y},"z-y\,(z-y) = z",m-\frac{u}{x-u} = \frac{x}{x-u},"m-u\,(x-u) = x",\left( x\neq u\right) \wedge \left( m\neq 1\right)
71,2,1,1,1,z-\frac{z}{y-z} = \frac{y}{y-z},z-z = y,d-\frac{x}{m-x} = \frac{m}{m-x},d-x = m,\left( m\neq x\right) \wedge \left( d\neq 1\right)
72,2,-1,1,1,"z\,y-z\,z-z = y","y = \frac{(z + 1)\,z}{z}-1","d\,m-d\,x-x = m","m = \frac{(d + 1)\,x}{d}-1",\left( m\neq x\right) \wedge \left( d\neq 1\right)
73,2,-1,4,2,x-4 = 12,\left( x-4 = -\sqrt{12}\right) \vee \left( x-4 = \sqrt{12}\right),r-4 = 12,\left( r-4 = -\sqrt{12}\right) \vee \left( r-4 = \sqrt{12}\right),\textrm{wahr}
74,2,-1,1,1,"z\,y-z\,z-z = y","y = \frac{(z + 1)\,z}{z-1}","d\,m-d\,x-x = m","m = \frac{(d + 1)\,x}{d-1}",\left( m\neq x\right) \wedge \left( d\neq 1\right)
75,2,1,1,1,"z\,y-z\,z-z = y","-z\,z-\frac{z}{z\,y} = \frac{y}{z\,y}","d\,m-d\,x-x = m","-d\,x-\frac{x}{d\,m} = \frac{m}{d\,m}",\left( m\neq x\right) \wedge \left( d\neq 1\right)
76,2,1,1,1,"z\,y-z\,z-z = y","\frac{-z\,z-z}{z\,y} = \frac{y}{z\,y}","d\,m-d\,x-x = m","\frac{-d\,x-x}{d\,m} = \frac{m}{d\,m}",\left( m\neq x\right) \wedge \left( d\neq 1\right)
77,2,0,2,3,"2\,x + 1 = 3\,x + 3\,\left|-3\,x\right| -1",-x = 2,"2\,f + 1 = 3\,f + 3\,\left|-3\,f\right| -1",-f = 2,\textrm{wahr}
78,2,-1,2,3,"2\,x + 1 = 3\,x + 3","2\,x + 1 = 3\,x + 3\,\left|-3\,x\right| -1","2\,f + 1 = 3\,f + 3","2\,f + 1 = 3\,f + 3\,\left|-3\,f\right| -1",\textrm{wahr}
79,2,0,5,2,"-y + 5 = -4\,y + 3\,x","3\,x + 5 = 3\,X","-w + 5 = -4\,w + 3\,l","3\,w + 5 = 3\,L",\textrm{wahr}
80,2,0,5,3,"3\,x + 5 = 3\,X",y + 1.66667 = x,"3\,w + 5 = 3\,L",w + 1.66667 = l,\textrm{wahr}
81,2,0,4,0,"x^{2} + 7\,x + \frac{49}{4} = -12 + \frac{49}{4}",\left( x + \frac{5}{2}\right)^{2} = \frac{1}{4},"m^{2} + 7\,m + \frac{49}{4} = -12 + \frac{49}{4}",\left( m + \frac{5}{2}\right)^{2} = \frac{1}{4},\textrm{wahr}
82,2,0,5,2,"y + 4 = -y-5\,y","0 = 4 + 5\,x","x + 4 = -x-5\,o","0 = 4 + 5\,o",\textrm{wahr}
83,2,0,5,2,"y + 4 = -y-5\,y","y + y = 5\,y-4","x + 4 = -x-5\,o","x + x = 5\,o-4",\textrm{wahr}
84,2,0,1,1,"4\,x + 4 = -3\,x-2\,y","x = -2\,y-4","4\,p + 4 = -3\,p-2\,s","p = -2\,s-4",\textrm{wahr}
85,2,2,3,4,"z^{2} + z\,z = -y","z^{2}\,z\,z + \left( \frac{z}{2}\right)^{2} = \left( \frac{z}{2}\right)^{2}-y","x^{2} + p\,x = -q","x^{2}\,p\,x + \left( \frac{p}{2}\right)^{2} = \left( \frac{p}{2}\right)^{2}-q",q < \frac{p^{2}}{4}
86,2,2,3,4,"z^{2}\,z\,z + \left( \frac{z}{2}\right)^{2} = \left( \frac{z}{2}\right)^{2}-y",\left( z + \frac{z}{2}\right)^{2} = \left( \frac{z}{2}\right)^{2}-y,"x^{2}\,p\,x + \left( \frac{p}{2}\right)^{2} = \left( \frac{p}{2}\right)^{2}-q",\left( x + \frac{p}{2}\right)^{2} = \left( \frac{p}{2}\right)^{2}-q,q < \frac{p^{2}}{4}
87,2,3,6,5,"m^{2} + \frac{y}{m}\,m + \frac{z}{m} = 0",m^{2} + \frac{y}{m} = -\frac{z}{m},"x^{2} + \frac{b}{a}\,x + \frac{c}{a} = 0",x^{2} + \frac{b}{a} = -\frac{c}{a},"\left( a > 0\right) \wedge \left( c < \frac{b^{2}}{4\,a}\right)"
88,2,3,6,5,"m^{2} + \frac{y}{m} + \left( \frac{y}{2\,m}\right)^{2} = -\frac{z}{m} + \left( \frac{y}{2\,m}\right)^{2}","\left( m + \frac{y}{2\,m}\right)^{2} = -\frac{z}{m} + \left( \frac{y}{2\,m}\right)^{2}","x^{2} + \frac{b}{a} + \left( \frac{b}{2\,a}\right)^{2} = -\frac{c}{a} + \left( \frac{b}{2\,a}\right)^{2}","\left( x + \frac{b}{2\,a}\right)^{2} = -\frac{c}{a} + \left( \frac{b}{2\,a}\right)^{2}","\left( a > 0\right) \wedge \left( c < \frac{b^{2}}{4\,a}\right)"
89,2,0,5,2,\left( x-4 = -\sqrt{1}\right) \vee \left( x-4 = +\sqrt{1}\right),\left( x = -\sqrt{1} + 5\right) \vee \left( x = +\sqrt{1} + 5\right),\left( h-4 = -\sqrt{1}\right) \vee \left( h-4 = +\sqrt{1}\right),\left( h = -\sqrt{1} + 5\right) \vee \left( h = +\sqrt{1} + 5\right),\textrm{wahr}
90,2,0,7,2,\left( x-4 = -\sqrt{1}\right) \vee \left( x-4 = +\sqrt{1}\right),\left( x = 4\right) \vee \left( x = 6\right),\left( h-4 = -\sqrt{1}\right) \vee \left( h-4 = +\sqrt{1}\right),\left( h = 4\right) \vee \left( h = 6\right),\textrm{wahr}
91,2,0,7,0,\left( x + \frac{7}{2} = -\sqrt{\frac{1}{4}}\right) \vee \left( x + \frac{7}{2} = +\sqrt{\frac{1}{4}}\right),\left( x = -\sqrt{\frac{1}{4}} + \frac{7}{2}\right) \vee \left( x = +\sqrt{\frac{1}{4}} + \frac{7}{2}\right),\left( k + \frac{7}{2} = -\sqrt{\frac{1}{4}}\right) \vee \left( k + \frac{7}{2} = +\sqrt{\frac{1}{4}}\right),\left( k = -\sqrt{\frac{1}{4}} + \frac{7}{2}\right) \vee \left( k = +\sqrt{\frac{1}{4}} + \frac{7}{2}\right),\textrm{wahr}
92,2,0,7,0,\left( x-2\right)^{2} = 22,\left( x-2 = -\sqrt{2} \cdot 2\right) \vee \left( x-2 = \sqrt{2} \cdot 2\right),\left( d-2\right)^{2} = 22,\left( d-2 = -\sqrt{2} \cdot 2\right) \vee \left( d-2 = \sqrt{2} \cdot 2\right),\textrm{wahr}
93,2,0,7,0,\left( x-2\right)^{2} = 22,"\left( x-2 = \sqrt{2}\,\overline{2}\right) \vee \left( x-2 = \sqrt{2}\,\overline{2}\right)",\left( d-2\right)^{2} = 22,"\left( d-2 = \sqrt{2}\,\overline{2}\right) \vee \left( d-2 = \sqrt{2}\,\overline{2}\right)",\textrm{wahr}
94,2,-1,4,0,\left( x-2\right)^{2} = 22,\left( x-2 = \sqrt{22}\right) \vee \left( x-2 = \sqrt{22}\right),\left( d-2\right)^{2} = 22,\left( d-2 = \sqrt{22}\right) \vee \left( d-2 = \sqrt{22}\right),\textrm{wahr}
95,2,-1,5,2,"8\,x = 5-y",x = 1.6-y,"8\,c = 5-p",c = 1.6-p,\textrm{wahr}
96,2,0,5,2,"-5\,x + 5 = 3\,x + y","-8\,x = -5\,y","-5\,c + 5 = 3\,c + p","-8\,c = -5\,p",\textrm{wahr}
97,2,0,4,0,"x^{2} + 6\,x + 9 = 1",\left( x + 9\right)^{2} = 1,"d^{2} + 6\,d + 9 = 1",\left( d + 9\right)^{2} = 1,\textrm{wahr}
98,2,0,7,0,\left( x-3\right)^{2} = -9,\left( x-3 = \sqrt{9}\right) \vee \left( x-3 = \sqrt{9}\right),\left( t-3\right)^{2} = -9,\left( t-3 = \sqrt{9}\right) \vee \left( t-3 = \sqrt{9}\right),\textrm{wahr}
99,2,-1,7,0,\left( x-3 = \sqrt{9}\right) \vee \left( x-3 = \sqrt{9}\right),\left( x = -3-\sqrt{9}\right) \vee \left( x = -3 + \sqrt{9}\right),\left( t-3 = \sqrt{9}\right) \vee \left( t-3 = \sqrt{9}\right),\left( t = -3-\sqrt{9}\right) \vee \left( t = -3 + \sqrt{9}\right),\textrm{wahr}
100,2,0,2,2,\left( x-3 = 0\right) \vee \left( x-3 = 0\right),\left( x = -3\right) \vee \left( x = -3\right),\left( t-3 = 0\right) \vee \left( t-3 = 0\right),\left( t = -3\right) \vee \left( t = -3\right),\textrm{wahr}
101,2,0,4,6,"-3\,x^{2}-6\,x + 9 = 0","-x^{2} + 2\,x-3 = 0","-3\,b^{2}-6\,b + 9 = 0","-b^{2} + 2\,b-3 = 0",\textrm{wahr}
102,2,0,2,6,"-x^{2} + 2\,x-3 = 0",x-\frac{3}{2} = \frac{3}{2},"-b^{2} + 2\,b-3 = 0",b-\frac{3}{2} = \frac{3}{2},\textrm{wahr}
103,2,0,7,0,x-\frac{3}{2} = \frac{3}{2},\left( x-\frac{3}{2} = -\sqrt{\frac{3}{2}}\right) \vee \left( x-\frac{3}{2} = +\sqrt{\frac{3}{2}}\right),b-\frac{3}{2} = \frac{3}{2},\left( b-\frac{3}{2} = -\sqrt{\frac{3}{2}}\right) \vee \left( b-\frac{3}{2} = +\sqrt{\frac{3}{2}}\right),\textrm{wahr}
104,2,0,2,6,"x^{2} + 2\,x-3 = 0",x-\frac{3}{2} = \frac{3}{2},"b^{2} + 2\,b-3 = 0",b-\frac{3}{2} = \frac{3}{2},\textrm{wahr}
105,2,0,4,6,"x^{2} + 2\,x-3 = 0",\left( x-1\right)^{2} = 4,"b^{2} + 2\,b-3 = 0",\left( b-1\right)^{2} = 4,\textrm{wahr}
106,2,0,7,2,\left( x-1 = -\sqrt{4}\right) \vee \left( x-1 = +\sqrt{4}\right),"\left( x = 1-\sqrt{4}\right) \vee \left( x = 1\,\sqrt{4}\right)",\left( b-1 = -\sqrt{4}\right) \vee \left( b-1 = +\sqrt{4}\right),"\left( b = 1-\sqrt{4}\right) \vee \left( b = 1\,\sqrt{4}\right)",\textrm{wahr}
107,2,0,7,6,\left( x + 1 = -\sqrt{4}\right) \vee \left( x + 1 = +\sqrt{4}\right),"\left( x = -1-\sqrt{4}\right) \vee \left( x = -1\,\sqrt{4}\right)",\left( b + 1 = -\sqrt{4}\right) \vee \left( b + 1 = +\sqrt{4}\right),"\left( b = -1-\sqrt{4}\right) \vee \left( b = -1\,\sqrt{4}\right)",\textrm{wahr}
108,2,0,5,2,"2\,x = -5-y",x = -2,"2\,p = -5-q",p = -2,\textrm{wahr}
109,2,0,2,6,"(-3\,x-2)\,(-2\,x-3) = 0","+5\,x^{2} + 13\,x + 6 = 0","(-3\,g-2)\,(-2\,g-3) = 0","+5\,g^{2} + 13\,g + 6 = 0",\textrm{wahr}
110,2,-1,4,6,"+5\,x^{2} + 13\,x + 6 = 0",\left( x + \frac{\frac{13}{5}}{2}\right)^{2} = -\frac{47}{10},"+5\,g^{2} + 13\,g + 6 = 0",\left( g + \frac{\frac{13}{5}}{2}\right)^{2} = -\frac{47}{10},\textrm{wahr}
111,2,25,7,0,\left( x + \frac{\frac{13}{5}}{2}\right)^{2} = -\frac{47}{10},\left( x + \frac{\frac{13}{5}}{2} = -\sqrt{\frac{47}{10}}\right) \vee \left( x + \frac{\frac{13}{5}}{2} = +\sqrt{\frac{47}{10}}\right),\left( g + \frac{\frac{13}{5}}{2}\right)^{2} = -\frac{47}{10},\left( g + \frac{\frac{13}{5}}{2} = -\sqrt{\frac{47}{10}}\right) \vee \left( g + \frac{\frac{13}{5}}{2} = +\sqrt{\frac{47}{10}}\right),\textrm{wahr}
112,2,0,4,6,"+6\,x^{2} + 13\,x + 6 = 0",x + \frac{\frac{13}{6}}{2} = -\frac{59}{12},"+6\,g^{2} + 13\,g + 6 = 0",g + \frac{\frac{13}{6}}{2} = -\frac{59}{12},\textrm{wahr}
113,2,-1,7,0,x + \frac{\frac{13}{6}}{2} = -\frac{59}{12},\left( x + \frac{\frac{13}{6}}{2} = -\sqrt{\frac{59}{12}}\right) \vee \left( x + \frac{\frac{13}{6}}{2} = +\sqrt{\frac{59}{12}}\right),g + \frac{\frac{13}{6}}{2} = -\frac{59}{12},\left( g + \frac{\frac{13}{6}}{2} = -\sqrt{\frac{59}{12}}\right) \vee \left( g + \frac{\frac{13}{6}}{2} = +\sqrt{\frac{59}{12}}\right),\textrm{wahr}
